reference,pin,net,domain,description
JPV,1,PV_IN+,PV,PV source positive
JPV,2,PGND,PV,PV source return
F1,1,PV_IN+,PV,PV input fuse
F1,2,PV_FUSED+,PV,Fused PV rail
CIN,1,PV_FUSED+,PV,Input capacitor positive
CIN,2,PGND,PV,Input capacitor return
U6,IP+,PV_FUSED+,PV,PV current sensor input
U6,IP-,PV_SENSED+,PV,PV current sensor output
U6,VOUT,ADC_PV_I,ANALOG,PV current measurement
U6,OC,OC_PV_N,SAFETY,PV overcurrent alert
Q1,D,PV_SENSED+,POWER,DC converter input high side
Q1,S,SW_PV,POWER,DC converter input switch node
Q1,G,GATE_Q1,GATE,High-side MOSFET gate
Q2,D,SW_PV,POWER,DC converter input low side
Q2,S,PGND,POWER,DC converter return
Q2,G,GATE_Q2,GATE,Low-side MOSFET gate
LDC,1,SW_PV,POWER,DC converter inductor
LDC,2,LDC_RAW,POWER,DC converter inductor
U7,IP+,LDC_RAW,POWER,DC inductor current sensor
U7,IP-,SW_DC,POWER,DC inductor current sensor
U7,VOUT,ADC_IL_DC,ANALOG,DC inductor current measurement
U7,OC,OC_DC_N,SAFETY,DC overcurrent alert
Q3,D,DC48+,POWER,DC converter output high side
Q3,S,SW_DC,POWER,DC converter output switch node
Q3,G,GATE_Q3,GATE,High-side MOSFET gate
Q4,D,SW_DC,POWER,DC converter output low side
Q4,S,PGND,POWER,DC converter return
Q4,G,GATE_Q4,GATE,Low-side MOSFET gate
CDC,1,DC48+,DC_LINK,DC link capacitor bank
CDC,2,PGND,DC_LINK,DC link capacitor return
JDC,1,DC_SOURCE+,DC_LINK,External battery or DC source
JDC,2,PGND,DC_LINK,External source return
KPRE,COM,DC_SOURCE+,DC_LINK,Precharge relay input
KPRE,NO,PRECHARGE_IN,DC_LINK,Precharge relay output
RPRE,1,PRECHARGE_IN,DC_LINK,Precharge resistor
RPRE,2,DC48+,DC_LINK,Precharge resistor output
K1,COM,DC_SOURCE+,DC_LINK,Main DC contactor input
K1,NO,DC48+,DC_LINK,Main DC contactor output
Q5,D,DC48+,POWER,Inverter leg A high side
Q5,S,SW_A,POWER,Inverter leg A switch node
Q5,G,GATE_Q5,GATE,Inverter gate
Q6,D,SW_A,POWER,Inverter leg A low side
Q6,S,PGND,POWER,Inverter return
Q6,G,GATE_Q6,GATE,Inverter gate
Q7,D,DC48+,POWER,Inverter leg B high side
Q7,S,AC_RETURN,POWER,Inverter leg B switch node and AC return
Q7,G,GATE_Q7,GATE,Inverter gate
Q8,D,AC_RETURN,POWER,Inverter leg B low side
Q8,S,PGND,POWER,Inverter return
Q8,G,GATE_Q8,GATE,Inverter gate
L1,1,SW_A,AC,Inverter-side LCL inductor
L1,2,AC_INV,AC,Filtered inverter node
CF,1,AC_INV,AC,LCL shunt capacitor
CF,2,CF_DAMP,AC,LCL shunt capacitor
RD,1,CF_DAMP,AC,LCL damping resistor
RD,2,AC_RETURN,AC,LCL damping return
L2,1,AC_INV,AC,Grid-side LCL inductor
L2,2,L2_RAW,AC,Grid-side LCL inductor
U8,IP+,L2_RAW,AC,Grid current sensor input
U8,IP-,AC_PCC,AC,Grid current sensor output
U8,VOUT,ADC_GRID_I,ANALOG,Grid current measurement
U8,OC,OC_GRID_N,SAFETY,Grid overcurrent alert
KAC,COM,AC_PCC,AC,Microgrid side of AC breaker
KAC,NO,UTILITY_AC,AC,Utility emulator side of AC breaker
JAC,1,UTILITY_AC,AC,Isolated grid emulator line
JAC,2,AC_RETURN,AC,Isolated grid emulator return
U9,IN+,PV_SENSED+,ANALOG,PV voltage front end
U9,IN-,PGND,ANALOG,PV voltage reference
U9,OUT,ADC_PV_V,ANALOG,PV voltage measurement
U10,IN+,DC48+,ANALOG,DC bus voltage front end
U10,IN-,PGND,ANALOG,DC bus voltage reference
U10,OUT,ADC_VDC,ANALOG,DC bus voltage measurement
U11,IN+,AC_INV,ANALOG,Microgrid bus voltage front end
U11,IN-,AC_RETURN,ANALOG,Microgrid bus reference
U11,OUT,ADC_GRID_V,ANALOG,Microgrid voltage measurement
U12,IN+,UTILITY_AC,ANALOG,Utility-side voltage front end
U12,IN-,AC_RETURN,ANALOG,Utility voltage reference
U12,OUT,ADC_UTILITY_V,ANALOG,Utility voltage measurement
U13,SENSE,HEATSINK,THERMAL,Heatsink temperature sensor
U13,OUT,ADC_TEMP,ANALOG,Temperature measurement
UTRIP,IN1_N,OC_PV_N,SAFETY,PV overcurrent input
UTRIP,IN2_N,OC_DC_N,SAFETY,DC overcurrent input
UTRIP,IN3_N,OC_GRID_N,SAFETY,Grid overcurrent input
UTRIP,IN4_N,ESTOP_N,SAFETY,Emergency stop input
UTRIP,OUT_N,TRIP_LATCH_N,SAFETY,Latched trip output
U1,HI,PWM1A,DIGITAL,Input-leg high command
U1,LI,PWM1B,DIGITAL,Input-leg low command
U1,HO,DRV_Q1,GATE,Input-leg high gate drive
U1,LO,DRV_Q2,GATE,Input-leg low gate drive
U1,HS,SW_PV,GATE,Input-leg floating return
U2,HI,PWM2A,DIGITAL,Output-leg high command
U2,LI,PWM2B,DIGITAL,Output-leg low command
U2,HO,DRV_Q3,GATE,Output-leg high gate drive
U2,LO,DRV_Q4,GATE,Output-leg low gate drive
U2,HS,SW_DC,GATE,Output-leg floating return
U3,HI,PWM3A,DIGITAL,Inverter A high command
U3,LI,PWM3B,DIGITAL,Inverter A low command
U3,HO,DRV_Q5,GATE,Inverter A high gate drive
U3,LO,DRV_Q6,GATE,Inverter A low gate drive
U3,HS,SW_A,GATE,Inverter A floating return
U4,HI,PWM4A,DIGITAL,Inverter B high command
U4,LI,PWM4B,DIGITAL,Inverter B low command
U4,HO,DRV_Q7,GATE,Inverter B high gate drive
U4,LO,DRV_Q8,GATE,Inverter B low gate drive
U4,HS,AC_RETURN,GATE,Inverter B floating return
RG1,1,DRV_Q1,GATE,Series gate resistor input
RG1,2,GATE_Q1,GATE,Series gate resistor output
RGS1,1,GATE_Q1,GATE,Gate-source pulldown
RGS1,2,SW_PV,GATE,Gate-source pulldown return
RG2,1,DRV_Q2,GATE,Series gate resistor input
RG2,2,GATE_Q2,GATE,Series gate resistor output
RGS2,1,GATE_Q2,GATE,Gate-source pulldown
RGS2,2,PGND,GATE,Gate-source pulldown return
RG3,1,DRV_Q3,GATE,Series gate resistor input
RG3,2,GATE_Q3,GATE,Series gate resistor output
RGS3,1,GATE_Q3,GATE,Gate-source pulldown
RGS3,2,SW_DC,GATE,Gate-source pulldown return
RG4,1,DRV_Q4,GATE,Series gate resistor input
RG4,2,GATE_Q4,GATE,Series gate resistor output
RGS4,1,GATE_Q4,GATE,Gate-source pulldown
RGS4,2,PGND,GATE,Gate-source pulldown return
RG5,1,DRV_Q5,GATE,Series gate resistor input
RG5,2,GATE_Q5,GATE,Series gate resistor output
RGS5,1,GATE_Q5,GATE,Gate-source pulldown
RGS5,2,SW_A,GATE,Gate-source pulldown return
RG6,1,DRV_Q6,GATE,Series gate resistor input
RG6,2,GATE_Q6,GATE,Series gate resistor output
RGS6,1,GATE_Q6,GATE,Gate-source pulldown
RGS6,2,PGND,GATE,Gate-source pulldown return
RG7,1,DRV_Q7,GATE,Series gate resistor input
RG7,2,GATE_Q7,GATE,Series gate resistor output
RGS7,1,GATE_Q7,GATE,Gate-source pulldown
RGS7,2,AC_RETURN,GATE,Gate-source pulldown return
RG8,1,DRV_Q8,GATE,Series gate resistor input
RG8,2,GATE_Q8,GATE,Series gate resistor output
RGS8,1,GATE_Q8,GATE,Gate-source pulldown
RGS8,2,PGND,GATE,Gate-source pulldown return
JCTRL,PWM1A,PWM1A_RAW,DIGITAL,C2000 PWM output
JCTRL,PWM1B,PWM1B_RAW,DIGITAL,C2000 PWM output
JCTRL,PWM2A,PWM2A_RAW,DIGITAL,C2000 PWM output
JCTRL,PWM2B,PWM2B_RAW,DIGITAL,C2000 PWM output
JCTRL,PWM3A,PWM3A_RAW,DIGITAL,C2000 PWM output
JCTRL,PWM3B,PWM3B_RAW,DIGITAL,C2000 PWM output
JCTRL,PWM4A,PWM4A_RAW,DIGITAL,C2000 PWM output
JCTRL,PWM4B,PWM4B_RAW,DIGITAL,C2000 PWM output
JCTRL,ADC_PV_V,ADC_PV_V,ANALOG,C2000 ADC input
JCTRL,ADC_VDC,ADC_VDC,ANALOG,C2000 ADC input
JCTRL,ADC_PV_I,ADC_PV_I,ANALOG,C2000 ADC input
JCTRL,ADC_IL_DC,ADC_IL_DC,ANALOG,C2000 ADC input
JCTRL,ADC_GRID_V,ADC_GRID_V,ANALOG,C2000 ADC input
JCTRL,ADC_UTILITY_V,ADC_UTILITY_V,ANALOG,C2000 ADC input
JCTRL,ADC_GRID_I,ADC_GRID_I,ANALOG,C2000 ADC input
JCTRL,ADC_TEMP,ADC_TEMP,ANALOG,C2000 ADC input
JCTRL,TRIP_LATCH_N,TRIP_LATCH_N,SAFETY,C2000 asynchronous trip input
JCTRL,ESTOP_N,ESTOP_N,SAFETY,Emergency-stop sense
JCTRL,PRECHARGE_CMD,PRECHARGE_CMD,DIGITAL,Precharge relay command
